Cliente,Empréstimo,ValorDoBem,TempoEmprego,Negativos,Atrasos,TempoCliente,LC-Recente,LC-Atual,RDS,Risco_Atrasos,Historico_Risco,Alavancagem,Finalidade_Reforma,Emprego_Comissionado,Emprego_Geral,Emprego_Gerente,Emprego_Outros,Emprego_Professional
,33284.0,216543.82,2.0,0.0,0.0,188.6,1.0,16.0,32.7,0.0,188600000.0,0.15370560954496135,False,False,False,True,False,False
,59032.0,204668.34,0.5,0.0,0.0,317.3,0.0,6.0,39.0,0.0,317300000.0,0.28842760786339694,False,True,False,False,False,False
,89490.0,351444.5,5.5,,,126.5,10.0,22.0,43.5,,,0.2546347993648078,True,False,False,False,True,False
,65940.0,439185.52,,0.0,0.0,210.2,0.0,19.0,32.2,0.0,210200000.0,0.15014156170234946,False,False,False,False,False,True
,49298.0,292585.2,19.0,0.0,0.0,265.9,11.0,25.0,34.4,0.0,265900000.0,0.16849109193325196,False,False,False,True,False,False
,58404.0,220220.76,8.25,0.0,0.0,88.9,3.0,15.0,42.5,0.0,88900000.00000001,0.2652066032956811,False,False,False,False,True,False
,82582.0,276709.36,7.0,0.0,0.0,236.2,1.0,20.0,37.2,0.0,236200000.0,0.2984431018219149,False,False,False,False,True,False
,46158.0,257282.18,2.5,0.0,0.0,108.3,1.0,19.0,25.2,0.0,108300000.0,0.17940612840187328,False,False,True,False,False,False
,26690.0,87521.22,21.25,0.0,0.0,192.1,0.0,15.0,39.4,0.0,192100000.0,0.3049546120934487,True,False,True,False,False,False
,94200.0,112647.6884,28.5,0.0,0.0,201.5,0.0,15.0,,0.0,201500000.0,0.8362355277923703,False,False,False,False,True,False
,30458.0,180571.98,6.0,0.0,0.0,84.2,0.0,11.0,28.0,0.0,84200000.0,0.16867511687762898,False,False,False,False,True,False
,78814.0,528198.24,7.25,1.0,0.0,212.4,1.0,20.0,34.8,0.0,212400000.00000003,0.14921291644361986,False,False,False,False,True,False
,47728.0,184738.76,,0.0,0.0,102.2,0.0,15.0,39.1,0.0,102200000.00000001,0.25835401158720556,False,False,False,False,True,False
,69080.0,288076.16000000003,0.75,0.0,0.0,146.9,0.0,21.0,33.3,0.0,146900000.0,0.23979769710968898,False,False,True,False,False,False
,58090.0,288164.08,4.0,0.0,0.0,131.2,0.0,13.0,26.9,0.0,131200000.0,0.20158653985747793,True,False,False,False,False,True
,29830.0,165509.4,12.0,0.0,0.0,243.4,0.0,32.0,40.2,0.0,243400000.00000003,0.1802314540429036,False,False,False,False,True,False
,47100.0,226786.5,1.0,0.0,0.0,270.0,0.0,20.0,26.1,0.0,270000000.0,0.20768431891808234,False,False,False,False,True,False
,41762.0,200281.76,3.75,0.0,0.0,178.3,0.0,13.0,28.9,0.0,178300000.00000003,0.20851624127670818,False,False,False,False,True,False
,43646.0,276407.92,13.25,0.0,0.0,113.3,0.0,23.0,37.0,0.0,113300000.0,0.1579043026049894,False,False,True,False,False,False
,31400.0,373421.36,31.75,0.0,0.0,344.8,2.0,36.0,36.2,0.0,344800000.0,0.08408731604403318,True,False,True,False,False,False
,73790.0,293257.16000000003,6.25,0.0,0.0,193.1,2.0,18.0,34.1,0.0,193100000.0,0.2516221590237655,False,False,False,True,False,False
,46786.0,278615.34,4.75,0.0,0.0,245.8,3.0,27.0,29.0,0.0,245800000.00000003,0.16792327311222965,False,False,False,False,True,False
,69080.0,569859.76,6.0,,,163.7,5.0,43.0,39.3,,,0.12122280730749822,False,False,False,False,False,True
,116808.0,240495.74,6.5,0.0,0.0,205.9,1.0,17.0,22.4,0.0,205900000.00000003,0.4856967508626276,False,False,False,False,False,True
,62800.0,415830.2,25.75,1.0,0.0,260.8,1.0,22.0,,0.0,260800000.00000003,0.15102318169526124,False,False,False,False,True,False
,51496.0,247435.14,4.5,0.0,0.0,268.1,2.0,31.0,34.9,0.0,268100000.00000003,0.2081191854636363,False,False,False,False,False,True
,51810.0,210273.24,3.5,0.0,0.0,207.4,3.0,17.0,37.0,0.0,207400000.00000003,0.24639369114969795,True,False,False,False,False,True
,35482.0,89804.0,20.5,0.0,0.0,193.0,0.0,15.0,37.0,0.0,193000000.0,0.39510489070525934,True,False,True,False,False,False
,28260.0,216641.16,0.75,0.0,1.0,139.5,0.0,9.0,26.5,0.0,139.4998605001395,0.1304461251479353,False,False,True,False,False,False
,40192.0,290208.22000000003,27.25,0.0,0.0,172.4,1.0,14.0,42.2,0.0,172400000.0,0.13849366451958642,True,False,True,False,False,False
,68766.0,251950.46,5.25,0.0,0.0,404.8,0.0,23.0,20.0,0.0,404800000.0,0.2729346067757344,False,True,False,False,False,False
,62800.0,39994.18,5.0,,,65.5,0.0,17.0,39.4,,,1.570228428980706,False,False,False,False,True,False
,39878.0,327250.8,10.75,0.0,0.0,166.5,0.0,13.0,36.5,0.0,166500000.0,0.1218576085318734,False,False,True,False,False,False
,46786.0,370604.78,0.25,1.0,1.0,156.6,1.0,33.0,35.1,1.0,156.5998434001566,0.1262423001499271,False,False,False,False,False,True
,48042.0,339669.5,6.5,1.0,0.0,84.2,0.0,20.0,22.5,0.0,84200000.0,0.14143748513941498,True,False,False,False,True,False
,47728.0,558913.72,12.0,0.0,0.0,263.1,0.0,21.0,25.5,0.0,263100000.00000003,0.08539421775977477,False,False,False,True,False,False
,40820.0,154883.64,11.75,0.0,0.0,173.9,1.0,8.0,37.9,0.0,173900000.0,0.2635526885631517,True,False,False,False,False,True
,60602.0,333103.76,11.25,0.0,0.0,196.0,1.0,13.0,28.7,0.0,196000000.0,0.18193129917857637,False,False,True,False,False,False
,45216.0,373380.54,11.5,0.0,0.0,181.6,0.0,29.0,36.9,0.0,181600000.0,0.121098972857292,False,False,False,False,True,False
,46158.0,395077.94,5.5,,,258.1,2.0,43.0,37.8,,,0.11683264290374541,False,False,False,True,False,False
,37994.0,321536.0,11.75,,2.0,162.0,0.0,17.0,32.5,,80.99995950002024,0.1181640621325013,False,True,False,False,False,False
,54950.0,485170.82,,0.0,0.0,218.5,0.0,18.0,36.5,0.0,218500000.0,0.11325907829069548,False,False,False,True,False,False
,75046.0,379158.14,3.75,0.0,0.0,196.0,1.0,26.0,35.4,0.0,196000000.0,0.19792796694822912,False,False,False,False,False,False
,33598.0,248914.08,18.5,0.0,0.0,220.2,1.0,16.0,36.0,0.0,220200000.0,0.1349783020109658,True,False,False,False,True,False
,34854.0,314436.46,5.0,0.0,0.0,111.3,0.0,26.0,27.1,0.0,111300000.0,0.11084592381288759,True,False,False,False,False,True
,32028.0,271625.7,8.5,0.0,0.0,262.1,0.0,14.0,21.3,0.0,262100000.00000003,0.11791225897287239,False,False,False,False,True,False
,37994.0,121675.0,1.55,0.0,0.0,170.0,1.0,17.0,,0.0,170000000.0,0.31225806194980016,False,False,False,False,True,False
,83210.0,373788.74,4.75,0.0,0.0,98.5,1.0,30.0,38.1,0.0,98500000.0,0.22261237665261835,False,False,False,False,True,False
,88234.0,404328.38,10.25,0.0,1.0,156.7,0.0,30.0,41.1,0.0,156.69984330015672,0.2182236126531024,False,False,True,False,False,False
,17270.0,112019.5,1.25,0.0,3.0,156.4,3.0,27.0,,0.0,52.13331595556135,0.15416958516892518,False,False,False,False,True,False
,85722.0,668672.42,9.0,0.0,0.0,246.1,3.0,27.0,22.2,0.0,246100000.0,0.12819730156031064,False,False,False,False,False,True
,64998.0,204100.0,26.75,0.0,0.0,307.8,3.0,30.0,,0.0,307800000.0,0.31846153690121737,False,False,False,False,True,False
,78814.0,290588.16000000003,8.5,1.0,1.0,137.7,4.0,24.0,32.6,1.0,137.6998623001377,0.27122233654935446,False,False,False,False,False,True
,42704.0,320069.62,1.25,0.0,0.0,150.7,0.0,23.0,41.6,0.0,150700000.0,0.13342097218279894,False,False,False,False,True,False
,211636.0,462217.42,10.5,0.0,0.0,120.1,0.0,11.0,42.0,0.0,120100000.0,0.4578711021798549,True,False,True,False,False,False
,98596.0,113297.48,30.5,0.0,0.0,208.3,0.0,15.0,41.0,0.0,208300000.00000003,0.8702400011876699,False,False,False,False,True,False
,206612.0,460603.46,8.5,0.0,1.0,134.2,0.0,11.0,39.8,0.0,134.1998658001342,0.4485680579807888,True,False,True,False,False,False
,46786.0,245504.04,5.5,0.0,0.0,128.0,1.0,8.0,24.3,0.0,128000000.0,0.19057120122922946,False,False,False,True,False,False
,29830.0,143353.56,0.75,0.0,0.0,85.4,0.0,9.0,23.3,0.0,85400000.00000001,0.20808691316708905,False,False,True,False,False,False
,26376.0,245168.06,0.0,0.0,0.0,58.7,8.0,20.0,25.5,0.0,58700000.00000001,0.10758334463476464,False,False,False,False,True,False
,68766.0,216506.14,10.0,0.0,0.0,190.1,0.0,42.0,40.0,0.0,190100000.0,0.3176168568816715,False,False,False,False,False,True
,53380.0,398780.0,9.75,0.0,5.0,258.2,0.0,39.0,,0.0,51.63998967200206,0.13385826738086598,False,False,False,True,False,False
,70336.0,571049.8200000001,7.5,0.0,0.0,319.7,0.0,17.0,46.0,0.0,319700000.0,0.12316963846837452,True,False,False,True,False,False
,78500.0,628000.0,23.25,0.0,0.0,200.9,0.0,19.0,,0.0,200900000.0,0.1249999998009554,False,False,False,False,True,False
,69708.0,191238.56,,0.0,0.0,290.5,0.0,18.0,38.7,0.0,290500000.0,0.36450807638110183,False,False,False,False,True,False
,50240.0,273450.04000000004,7.75,0.0,0.0,207.4,2.0,18.0,44.4,0.0,207400000.00000003,0.18372643067184619,False,False,False,False,True,False
,83838.0,533931.88,1.5,0.0,0.0,234.1,1.0,25.0,33.1,0.0,234100000.0,0.15702003005136153,False,False,False,True,False,False
,47100.0,329700.0,1.75,0.0,2.0,207.9,2.0,27.0,,0.0,103.94994802502599,0.14285714242384853,False,False,False,False,True,False
,28888.0,244920.0,10.25,0.0,0.0,125.1,2.0,24.0,,0.0,125100000.0,0.11794871746713737,False,False,False,True,False,False
,89804.0,582491.98,0.25,0.0,0.0,213.5,3.0,19.0,39.5,0.0,213500000.0,0.1541720794951167,False,False,False,False,False,True
,15386.0,770242.0,,0.0,0.0,133.4,0.0,20.0,,0.0,133400000.00000001,0.01997554012897824,False,True,False,False,False,False
,25434.0,177052.04,11.0,1.0,0.0,296.5,2.0,12.0,34.4,0.0,296500000.0,0.14365267893184017,True,False,False,False,True,False
,78500.0,549500.0,17.75,0.0,0.0,301.1,1.0,32.0,,0.0,301100000.00000006,0.14285714259716625,False,True,False,False,False,False
,63428.0,539094.04,7.0,0.0,0.0,181.6,0.0,39.0,21.3,0.0,181600000.0,0.11765665204227325,False,False,False,False,False,True
,54636.0,283962.76,4.0,0.0,0.0,116.5,0.0,12.0,27.4,0.0,116500000.0,0.1924055105239662,True,False,False,False,False,True
,34540.0,346922.9,3.5,1.0,1.0,128.6,1.0,17.0,42.0,1.0,128.5998714001286,0.09956102609668883,False,False,False,True,False,False
,106446.0,540375.16,12.75,1.0,0.0,169.1,1.0,28.0,44.3,0.0,169100000.0,0.19698536809688774,False,False,False,True,False,False
,68452.0,401920.0,15.75,1.0,2.0,289.0,3.0,27.0,,2.0,144.4999277500361,0.17031249957625275,True,False,False,False,False,True
,31086.0,266476.10000000003,0.75,2.0,0.0,97.8,0.0,12.0,40.2,0.0,97800000.0,0.11665586475989453,False,False,False,True,False,False
,43018.0,297797.60000000003,6.5,0.0,0.0,197.4,3.0,19.0,43.3,0.0,197400000.0,0.14445381646979755,False,False,False,False,True,False
,51496.0,227650.0,,0.0,1.0,128.9,1.0,37.0,,0.0,128.8998711001289,0.22620689555806328,False,False,False,False,True,False
,84152.0,169267.98,0.25,0.0,0.0,203.2,0.0,6.0,70.5,0.0,203200000.0,0.49715250044838666,False,False,False,False,True,False
,58404.0,259646.6,0.25,1.0,0.0,91.2,0.0,21.0,51.8,0.0,91200000.0,0.22493650898977108,False,False,False,True,False,False
,81012.0,335640.88,12.0,0.0,0.0,294.1,1.0,34.0,40.8,0.0,294100000.00000006,0.24136511547292716,False,False,False,False,False,True
,41448.0,394817.32,3.0,0.0,3.0,158.5,0.0,24.0,41.7,0.0,52.83331572222809,0.10498019665150406,True,False,False,True,False,False
,68452.0,360258.48000000004,,0.0,0.0,192.2,1.0,25.0,41.7,0.0,192200000.0,0.19000801815960577,False,False,False,False,True,False
,10048.0,234137.24,10.75,,1.0,208.5,0.0,26.0,42.1,,208.49979150020852,0.04291500129191324,True,False,False,True,False,False
,72534.0,426349.2,5.75,0.0,0.0,156.1,0.0,31.0,35.6,0.0,156100000.0,0.17012814807644028,True,False,False,False,False,True
,63742.0,337119.82,4.5,0.0,0.0,221.4,0.0,13.0,27.6,0.0,221400000.00000003,0.18907817348419867,True,False,False,False,True,False
,66254.0,83053.0,6.0,1.0,0.0,114.4,0.0,19.0,19.8,0.0,114400000.00000001,0.7977315593930193,False,False,False,False,False,True
,46786.0,246201.12,4.0,3.0,0.0,132.6,0.0,25.0,3.0,0.0,132600000.0,0.19003162865371356,False,False,False,False,False,False
,63428.0,307029.2,17.75,0.0,1.0,633.5,1.0,25.0,22.7,0.0,633.4993665006335,0.2065862132768277,True,False,False,False,False,True
,20096.0,233402.48,9.25,,1.0,216.5,0.0,24.0,38.6,,216.49978350021652,0.0861001987378189,True,False,False,True,False,False
,41134.0,219985.26,11.75,0.0,0.0,244.5,0.0,18.0,30.9,0.0,244500000.0,0.18698525443484143,False,False,False,False,True,False
,16956.0,269562.72000000003,4.25,0.0,0.0,125.9,0.0,15.0,45.1,0.0,125900000.00000001,0.0629018728446505,True,False,False,False,True,False
,40192.0,246150.88,0.75,0.0,1.0,198.5,0.0,13.0,28.3,0.0,198.49980150019852,0.16328196688436797,True,False,False,False,True,False
,15700.0,357061.96,7.25,0.0,0.0,195.7,0.0,27.0,26.9,0.0,195700000.0,0.04396995960037311,True,False,False,False,False,True
,31400.0,162287.76,15.25,0.0,0.0,86.0,0.0,12.0,30.3,0.0,86000000.0,0.19348347531888127,False,False,False,False,True,False
,59660.0,615100.88,10.75,0.0,0.0,279.6,0.0,40.0,26.5,0.0,279600000.00000006,0.09699222004528392,False,False,False,False,False,True
,82268.0,416448.78,11.0,0.0,1.0,170.9,0.0,27.0,41.1,0.0,170.89982910017093,0.19754650212315064,False,False,True,False,False,False
,132508.0,192974.98,19.0,0.0,0.0,185.4,1.0,30.0,38.9,0.0,185400000.0,0.6866589612463805,False,False,False,False,True,False
,36110.0,118431.38,15.5,0.0,0.0,64.3,0.0,9.0,31.7,0.0,64300000.0,0.30490229612369374,True,False,False,True,False,False
,131880.0,518100.0,12.75,1.0,1.0,238.4,0.0,19.0,,1.0,238.39976160023843,0.2545454540541489,False,False,True,False,False,False
,77872.0,292685.68,7.25,1.0,1.0,122.0,4.0,24.0,33.7,1.0,121.99987800012201,0.266060163018361,False,False,False,False,False,True
,18840.0,270432.5,6.5,0.0,0.0,224.9,2.0,25.0,,0.0,224900000.00000003,0.0696661826161198,True,False,False,False,False,True
,51810.0,310615.08,0.5,0.0,0.0,142.2,3.0,20.0,33.8,0.0,142200000.0,0.16679808280139494,False,False,True,False,False,False
,73790.0,383937.22,9.75,0.0,0.0,121.6,1.0,22.0,30.4,0.0,121600000.0,0.19219287936659835,True,False,False,True,False,False
,51182.0,239051.34,9.25,0.0,0.0,83.6,2.0,9.0,39.4,0.0,83600000.0,0.21410463453539047,False,False,False,False,True,False
,45216.0,284889.06,4.25,0.0,0.0,134.5,2.0,25.0,39.7,0.0,134500000.0,0.15871441269554398,False,False,False,True,False,False
,39250.0,211950.0,16.25,0.0,5.0,186.6,0.0,15.0,,0.0,37.31999253600149,0.1851851843114641,False,False,True,False,False,False
,53380.0,419390.96,15.5,0.0,0.0,310.5,0.0,18.0,28.4,0.0,310500000.0,0.12727980563224395,False,False,False,False,False,True
,52438.0,303119.9,7.25,,,105.0,0.0,10.0,39.3,,,0.17299425021915668,True,False,True,False,False,False
,17270.0,366372.06,6.5,0.0,0.0,188.7,1.0,25.0,27.4,0.0,188700000.0,0.04713787386751633,True,False,False,False,False,True
,79128.0,315230.88,0.5,0.0,0.0,197.2,0.0,27.0,33.3,0.0,197200000.0,0.2510160164162343,False,False,False,False,False,True
,197506.0,634053.92,9.5,0.0,0.0,300.0,1.0,23.0,36.6,0.0,300000000.0,0.3114971668158803,False,False,False,False,False,True
,121204.0,602440.4,,1.0,0.0,187.2,0.0,24.0,36.1,0.0,187200000.0,0.2011883661832965,False,False,False,True,False,False
,110528.0,135107.92,2.25,0.0,1.0,212.6,3.0,50.0,41.3,0.0,212.59978740021262,0.8180719470918363,False,False,False,True,False,False
,52752.0,577163.4,11.25,0.0,0.0,245.4,0.0,20.0,25.7,0.0,245400000.00000003,0.09139872678794474,False,False,False,True,False,False
,61544.0,427040.0,12.5,2.0,0.0,187.0,3.0,33.0,,0.0,187000000.0,0.14411764672134308,False,False,False,False,False,True
,29516.0,366416.02,0.5,0.0,0.0,247.3,0.0,39.0,17.2,0.0,247300000.00000003,0.08055324633307996,False,False,True,False,False,False
,42076.0,407192.06,10.0,0.0,0.0,181.6,2.0,33.0,30.5,0.0,181600000.0,0.10333207355926323,True,False,False,False,False,True
,37680.0,352072.5,2.5,0.0,0.0,144.8,1.0,20.0,,0.0,144800000.00000003,0.1070234110672563,True,False,True,False,False,False
,78500.0,650608.0,10.0,0.0,0.0,241.9,3.0,28.0,,0.0,241900000.00000003,0.12065637047091893,False,False,False,False,False,True
,62486.0,337857.72000000003,10.0,0.0,0.0,204.2,2.0,13.0,31.0,0.0,204200000.0,0.1849476750599404,False,False,True,False,False,False
,86978.0,397398.4,0.25,0.0,0.0,312.9,1.0,25.0,37.0,0.0,312900000.0,0.2188685203089179,False,False,True,False,False,False
,86350.0,265235.8,9.5,0.0,1.0,142.0,3.0,27.0,41.3,0.0,141.999858000142,0.3255593689631665,False,False,False,False,True,False
,51810.0,206448.72,7.5,0.0,0.0,101.2,3.0,14.0,41.4,0.0,101200000.0,0.2509582028362385,False,False,False,False,True,False
,47100.0,148817.16,13.75,0.0,0.0,68.6,0.0,11.0,,0.0,68600000.0,0.3164957568300876,True,False,False,False,True,False
,16014.0,146747.9,10.0,0.0,0.0,71.0,0.0,17.0,,0.0,71000000.0,0.10912592201233598,True,False,False,False,True,False
,16956.0,180402.42,4.5,0.0,0.0,97.0,0.0,23.0,,0.0,97000000.0,0.0939898694596787,False,True,False,False,False,False
,49612.0,351026.88,1.0,0.0,2.0,144.8,1.0,36.0,31.1,0.0,72.3999638000181,0.1413339054224739,False,False,False,False,False,True
,44274.0,188400.0,0.75,0.0,0.0,1.1,13.0,8.0,,0.0,1100000.0000000002,0.23499999875265395,False,False,False,False,True,False
,37366.0,123819.62,,,1.0,82.7,0.0,9.0,34.5,,82.6999173000827,0.3017776964444109,True,False,False,False,True,False
,26062.0,245924.8,18.75,0.0,0.0,197.1,1.0,17.0,,0.0,197100000.0,0.10597548475804196,True,False,False,False,True,False
,13502.0,250735.28,6.0,0.0,0.0,106.5,0.0,14.0,41.8,0.0,106500000.0,0.053849621585563785,True,False,False,False,True,False
,15700.0,273707.52,4.0,0.0,0.0,123.7,0.0,15.0,41.6,0.0,123700000.00000001,0.05736049905621702,True,False,False,False,True,False
,53380.0,498195.54,,0.0,0.0,229.4,0.0,19.0,36.4,0.0,229400000.00000003,0.10714668359506654,False,False,False,True,False,False
,65312.0,363486.4,16.5,0.0,0.0,263.4,0.0,19.0,24.8,0.0,263400000.0,0.17968210040408086,False,False,False,False,False,True
,31086.0,276649.7,18.75,0.0,0.0,204.4,0.0,17.0,34.6,0.0,204400000.00000003,0.11236592661273109,True,False,False,False,True,False
,186830.0,219740.34,4.75,0.0,0.0,102.3,0.0,20.0,30.5,0.0,102300000.0,0.8502307730559133,False,False,False,False,True,False
,88234.0,348072.14,9.75,0.0,0.0,400.4,0.0,44.0,42.0,0.0,400400000.0,0.2534934273869393,False,False,True,False,False,False
,60288.0,299637.64,1.25,0.0,0.0,172.8,4.0,19.0,34.3,0.0,172800000.00000003,0.20120302575736804,False,False,True,False,False,False
,78500.0,662540.0,13.25,1.0,2.0,150.2,4.0,53.0,,2.0,75.09996245001877,0.11848341214344278,False,False,False,False,False,True
,94200.0,178980.0,0.25,0.0,0.0,102.0,1.0,6.0,,0.0,102000000.0,0.526315786533044,False,False,False,False,True,False
,21666.0,200181.28,10.75,2.0,0.0,140.7,0.0,22.0,38.4,0.0,140700000.0,0.1082318980664331,False,False,False,False,True,False
,40192.0,123288.96,7.25,0.0,0.0,94.9,2.0,12.0,33.3,0.0,94900000.00000001,0.3259983673639686,True,False,False,False,True,False
,59346.0,361618.1,13.0,0.0,0.0,122.3,1.0,8.0,32.4,0.0,122300000.0,0.1641123600723737,False,False,False,False,True,False
,51182.0,133855.06,9.5,0.0,0.0,82.7,2.0,11.0,28.3,0.0,82700000.0,0.38236880710845894,True,False,False,False,True,False
,42390.0,304580.0,12.75,1.0,0.0,148.0,0.0,22.0,,0.0,148000000.0,0.13917525727501723,False,False,False,False,True,False
,81326.0,384248.08,10.75,0.0,1.0,135.5,0.0,18.0,24.6,0.0,135.49986450013552,0.21164972324220924,False,False,False,False,False,True
,85408.0,562678.5800000001,1.0,0.0,0.0,185.7,0.0,36.0,40.3,0.0,185700000.0,0.1517882551139795,False,False,False,False,True,False
,9106.0,354820.0,6.0,1.0,0.0,168.1,2.0,27.0,,0.0,168100000.0,0.025663716741830458,False,False,False,False,False,True
,31400.0,351723.96,13.5,0.0,0.0,185.5,2.0,18.0,,0.0,185500000.0,0.08927455471252355,False,False,False,False,False,True
,51810.0,353805.78,2.75,,2.0,141.0,1.0,24.0,39.3,,70.49996475001763,0.14643627318231975,True,False,True,False,False,False
,57462.0,372231.3,12.75,0.0,0.0,142.9,3.0,18.0,37.9,0.0,142900000.0,0.15437175714570012,False,False,False,False,False,True
,157628.0,268680.38,,0.0,0.0,353.4,0.0,6.0,23.1,0.0,353400000.0,0.5866747672953464,True,False,False,False,True,False
,42076.0,566182.8200000001,6.5,,1.0,212.9,4.0,27.0,42.2,,212.89978710021293,0.07431521840539912,False,False,False,False,False,True
,86664.0,369204.34,10.5,0.0,0.0,166.5,0.0,27.0,36.0,0.0,166500000.0,0.23473180127099316,False,False,False,True,False,False
,12874.0,200322.58,7.25,0.0,4.0,168.4,1.0,29.0,23.3,0.0,42.09998947500263,0.06426634449163772,False,False,False,False,False,True
,25120.0,223464.38,2.75,0.0,1.0,132.2,0.0,21.0,30.4,0.0,132.1998678001322,0.11241165096463406,True,False,False,True,False,False
,27004.0,158212.04,21.75,1.0,0.0,226.1,0.0,17.0,32.9,0.0,226100000.0,0.17068233131509883,True,False,False,True,False,False
,34540.0,278225.98000000004,9.0,0.0,0.0,178.0,0.0,12.0,37.2,0.0,178000000.0,0.12414369023286864,False,False,False,False,False,True
,58718.0,203355.82,25.75,0.0,0.0,239.0,0.0,13.0,25.6,0.0,239000000.0,0.28874511539062364,True,False,False,False,True,False
,33284.0,259508.44,5.0,0.0,4.0,90.1,2.0,13.0,37.4,0.0,22.524994368751404,0.12825787042510883,False,False,False,False,False,True
,26690.0,141849.5,9.0,0.0,0.0,212.5,1.0,22.0,28.0,0.0,212500000.0,0.18815716524797646,False,False,True,False,False,False
,68138.0,440975.32,5.0,0.0,0.0,168.9,0.0,32.0,34.8,0.0,168900000.0,0.15451658348018982,True,False,False,False,False,True
,129368.0,495878.22,14.25,,1.0,215.1,3.0,29.0,38.9,,215.0997849002151,0.26088663409962504,False,False,False,False,True,False
,31086.0,237091.98,3.75,0.0,0.0,240.5,1.0,17.0,37.5,0.0,240500000.0,0.13111367102711077,True,False,False,False,True,False
,35796.0,454766.2,2.5,0.0,0.0,273.5,1.0,47.0,33.3,0.0,273500000.0,0.07871297365830404,False,False,False,False,False,True
,81012.0,365276.2,11.5,0.0,1.0,131.3,0.0,18.0,26.0,0.0,131.29986870013133,0.221782858500546,False,False,False,False,False,True
,54008.0,206612.0,7.0,0.0,1.0,122.6,2.0,49.0,31.6,0.0,122.59987740012261,0.26139817502662877,False,False,False,False,True,False
,58090.0,363357.66,0.75,0.0,0.0,122.6,0.0,31.0,34.2,0.0,122600000.0,0.15987002954645288,False,False,False,False,False,True
,56520.0,298271.74,1.0,0.0,0.0,158.6,0.0,24.0,24.6,0.0,158600000.0,0.1894916354144324,False,False,True,False,False,False
